supplier_article;supplier_name;price;site_sku;notes
903;"Печь ""Витязь"" 18 ДТ-4 (Закрытая каменка нерж, Сетчатый кожух)";1996.80;;
904;"Печь-камин ""Витязь"" 18 Д-2 (Закрытая каменка нерж, Сетчатый кожух)";2242.50;;
909;"Печь-камин ""Витязь"" 18 Д-1 (Закрытая каменка нерж, Сетчатый кожух)";2324.40;;
907;"Печь ""Витязь"" 28 (сетчатый кожух, ДТ-4)";2449.20;;
910;"Печь-камин ""Витязь"" 28 Д-2 (Закрытая каменка нерж, Сетчатый кожух)";2714.40;;
908;"Печь-камин ""Витязь"" 28 Д-1 (Закрытая каменка нерж, Сетчатый кожух)";2796.30;;
1001;"Флагман 15";1716.00;;
311;"Теплообменник в камеру сгорания берёзка/фаворит/флагман,витязь/викинг";198.90;;
307;"Бак 35л. ""Флагман 15""";312.00;;
1002;"Флагман 15 (сетчатый кожух)";1794.00;;
1003;"Флагман 18 (сетчатый кожух) ЗАКРЫТАЯ КАМЕНКА";2355.60;;
1004;"Флагман 24";2024.10;;
311;"Теплообменник в камеру сгорания берёзка/фаворит/флагман,витязь/викинг";198.90;;
312;"Бак 50л. ""Флагман 24""";351.00;;
1005;"Флагман 24 (сетчатый кожух)";2187.90;;
1008;"Флагман 28 (закр.каменка нерж, сетчатый кожух)";2827.50;;
1101;"Кухня мангал ДТ-3 стекло";1209.00;;
1102;"Кухня мангал ДТ-3 стекло эксклюзив";1361.10;;
1103;"Кухня мангал ДТ-3";1134.90;;
1104;"Кухня мангал ДТ-3 эксклюзив";1287.00;;
1105;"Печь под казан ДТ-3 стекло";666.90;;
1106;"Печь под казан ДТ-3 стекло эксклюзив";741.00;;
1107;"Печь под казан ДТ-3";592.80;;
1108;"Печь под казан ДТ-3 эксклюзив";670.80;;
1109;"Мангал-жаровня с крышкой";655.20;;
1110;"Мангал-жаровня эксклюзив с крышкой";694.20;;
1111;"Коптильня Триумф";292.50;;
1112;"Гриль Триумф - 400    NEW";577.20;;
1113;"Гриль Триумф - 600    NEW";682.50;;
1306;"Т-ПЕЧЬ 100";389.61;;
1307;"Т-ПЕЧЬ 100 стекло";468.00;;
1201;"Печь чугунная отопительно-варочная ""Берёзка 200""";1556.10;;
1301;"Отопительно-варочная печь ""Комфорт 120""";998.40;;
1302;"Отопительно-варочная печь ""Комфорт 120""(ДТ-3 стекло)";1072.50;;
1303;"Печь отопительная"" Кадет-1"" 50 куб.";370.50;;
1304;"Печь отопительная "" Кадет-2"" 70 куб.";670.80;;
1305;"Печь отопительная "" Кадет-2"" 70 куб. (ДТ-3 стекло)";744.90;;
1401;"Отопительная печь BulyK 100";807.30;;
1402;"Отопительная печь BuliK 100 с экранами";955.50;;
1403;"Отопительная печь BulyK 100 Стекло";916.50;;
1404;"Отопительная печь BuliK 100 Стекло с экранами";1068.60;;
1405;"Отопительная печь BuliK 100 PLUS";963.30;;
1406;"Отопительная печь BuliK 100 PLUS с экранами";1115.40;;
1407;"Отопительная печь BuliK 100 PLUS Стекло";1076.40;;
1408;"Отопительная печь BuliK 100 PLUS Стекло с экранами";1228.50;;
1409;"Отопительная печь BuliK 150";1025.70;;
1410;"Отопительная печь BuliK 150 с экранами";1181.70;;
1411;"Отопительная печь BuliK 150 Стекло";1138.80;;
1412;"Отопительная печь BuliK 150 Стекло с экранами";1290.90;;
1413;"Отопительная печь BuliK 150 PLUS";1189.50;;
1414;"Отопительная печь BuliK 150 PLUS с экранами";1349.40;;
1415;"Отопительная печь BuliK 150 PLUS Стекло";1302.60;;
1416;"Отопительная печь BuliK 150 PLUS Стекло с экранами";1458.60;;
1417;"Отопительная печь BuliK 200";1181.70;;
1418;"Отопительная печь BuliK 200 с экранами";1349.40;;
1419;"Отопительная печь BuliK 200 Стекло";1294.80;;
1420;"Отопительная печь BuliK 200 Стекло с экранами";1466.40;;
1421;"Отопительная печь BuliK 200 PLUS";1361.10;;
1422;"Отопительная печь BuliK 200 PLUS с экранами";1528.80;;
1423;"Отопительная печь BuliK 200 PLUS Стекло";1474.20;;
1424;"Отопительная печь BuliK 200 PLUS Стекло с экранами";1641.90;;
1425;"Отопительная печь BuliK 280";1665.30;;
1426;"Отопительная печь BuliK 280 с экранами";1844.70;;
1427;"Отопительная печь BuliK 280 Стекло";1778.40;;
1428;"Отопительная печь BuliK 280 Стекло с экранами";1953.90;;
1429;"Отопительная печь BuliK 280 PLUS";1852.50;;
1430;"Отопительная печь BuliK 280 PLUS с экранами";2031.90;;
1431;"Отопительная печь BuliK 280 PLUS Стекло";1965.60;;
1432;"Отопительная печь BuliK 280 PLUS Стекло с экранами";2141.10;;
1433;"Отопительная печь BuliK 400";1911.00;;
1434;"Отопительная печь BuliK 400 с экранами";2102.10;;
1435;"Отопительная печь BuliK 400 Стекло";2024.10;;
1436;"Отопительная печь BuliK 400 Стекло с экранами";2215.20;;
1437;"Отопительная печь BuliK 400 PLUS";2109.90;;
1438;"Отопительная печь BuliK 400 PLUS с экранами";2304.90;;
1439;"Отопительная печь BuliK 400 PLUS Стекло";2226.90;;
1440;"Отопительная печь BuliK 400 PLUS Стекло с экранами";2418.00;;
1549;"Обливное устройство ICEBERG CUBE 20";1505.40;;
1550;"Обливное устройство ICEBERG CUBE 30";1376.70;;
1552;"Обливное устройство ICEBERG CUBE 60";2109.90;;
1553;"Система подачи воздуха Второе Дыхание STANDART";588.90;;
1554;"Система подачи воздуха Второе Дыхание BLACK";729.30;;
1551;"ШИШКИ ИЗ НЕРЖАВЕЮЩЕЙ СТАЛИ к-т 4 шт.";128.70;;
1547;"Заглушка прочистки Корвет, Берёзка, Фаворит, Флагман, Витязь, Викинг";11.70;;
1548;"Заглушка прочистки Оптима";11.70;;
2148;"Кочерга и совок";39.00;;
1529;"Дровник диагональ";413.40;;
1533;"Дровяник ""Лофтвер""";265.20;;
1501;"Паровая пушка ППС - 2";120.90;;
1502;"Паровая пушка ППС - 4 специально для чугунных печей";124.80;;
1503;"Подставка под печь D-580 (Подставка под печь повторяющая стилистику сеток печей Флагман, Витязь, Воевода, Викинг, Корвет!)";101.40;;
1504;"Декоративный фасадный экран 600х900 (печи 15й серии)";265.20;;
1531;"Декоративный фасадный экран Берёзка 24-28, Викинг 24, Витязь 28";288.60;;
1532;"Декоративный фасадный экран Флагиан 15,18,20";288.60;;
1555;"Декоративный фасадный экран 560х860 Тундра";230.10;;
1552;"Рамка декоративная Оптима 12";31.20;;
1534;"Рамка чёрная под Д -1";62.40;;
1535;"Рамка чёрная под Д -2";58.50;;
306;"Теплообменник в камеру сгорания берёзка/фаворит/флагман 15";198.90;;
311;"Теплообменник в камеру сгорания берёзка/фаворит/флагман 24 и в печи с сеткой";198.90;;
1507;"Теплообменник под обшивку корвет 15,24";128.70;;
1508;"Теплообменник прикладной викинг/витязь";128.70;;
307;"бак на 35 л.";312.00;;
312;"бак на 50 л.";351.00;;
1509;"бак на 40 л. труба 115 мм.";522.60;;
1510;"бак на 40 л. труба 130 мм.";530.40;;
1511;"бак на 40 л. труба 150 мм.";549.90;;
1515;"Защитные пластины топки Викинг/Витязь/Флагман";39.00;;
1516;"Воронка (дозатор) Б24";101.40;;
1528;"Экономайзер 500";97.50;;
